"ID","Name","City","Auth","Dec","Roll"
205,"Manawatu College","Foxton","State",2,334
4111,"Huntley School","Marton","Private",8,164
2396,"Marton Junction School","Marton","State",1,112
2456,"St Matthew's School (Marton)","Marton","State Integrated",4,78
3046,"Tokomaru School","Tokomaru","State",7,58
2438,"Rongotea School","Rongotea","State",6,90
191,"Longburn Adventist College","Longburn","State Integrated",6,304
2388,"Longburn School","Palmerston North","State",5,105
399,"Central Southland College","Winton","State",7,549
3772,"Milton School","Milton","State",4,132
4023,"St Thomas School (Winton)","Winton","State Integrated",8,79
4052,"Winton School","Winton","State",7,210
2338,"Awahou School","Ashhurst","State",10,53
2414,"Oroua Downs School","Manawatu District","State",5,108
2835,"Eketahuna School","Eketahuna","State",5,116
2856,"Hillcrest School (Pahiatua)","Pahiatua","State",2,51
2945,"Pahiatua School","Pahiatua","State",3,265
2998,"St Anthony's School (Pahiatua)","Pahiatua","State Integrated",6,109
2742,"Woodville School","Woodville","State",3,147
2553,"Dannevirke South School","Dannevirke","State",5,347
1662,"Huia Range School","Dannevirke","State",3,278
2676,"St Joseph's School (Dannevirke)","Dannevirke","State Integrated",5,145
4226,"TKKM o Tamaki Nui A Rua","Dannevirke","State",2,102
235,"Tararua College","Pahiatua","State",4,428
234,"Dannevirke High School","Dannevirke","State",4,489
439,"Totara College of Accelerated Learning","Dannevirke","State Integrated",3,67
2622,"Norsewood and Districts School","Norsewood","State",6,103
2962,"Pongaroa School","Pongaroa","State",6,49
2732,"Weber School","Via Dannevirke","State",7,54
2669,"Ruahine School","Dannevirke","State",6,167
2900,"Mangatainoka School","Tararua District","State",5,30
2805,"Ballance School","Pahiatua","State",6,25
2897,"Mangamaire Country School","Pahiatua","State",9,50
2895,"Makuri School","Tararua District","State",5,11
2800,"Akitio School","Dannevirke","State",10,13
2801,"Alfredton School","Tararua District","State",9,31
3042,"Tiraumea School","Tararua District","State",6,21
2640,"Papatawa School","Woodville","State",7,27
2807,"Belmont School (Lower Hutt)","Lower Hutt","State",8,307
2834,"Eastern Hutt School","Lower Hutt","State",10,605
2848,"Gracefield School","Lower Hutt","State",4,204
2862,"Hutt Central School","Lower Hutt","State",8,270
2877,"Kelson School","Lower Hutt","State",10,218
2968,"Maungaraki School","Lower Hutt","State",10,220
2930,"Normandale School","Lower Hutt","State",10,119
2941,"Our Lady of Rosary School (Waiwhetu)","Lower Hutt","State Integrated",6,238
2969,"Randwick School","Lower Hutt","State",3,202
133,"Raphael House Rudolf Steiner Area School","Lower Hutt","State Integrated",10,336
262,"Sacred Heart College (Lower Hutt)","Lower Hutt","State Integrated",7,785
260,"St Bernard's College","Lower Hutt","State Integrated",5,475
3021,"Sts Peter and Paul School (L.Hutt)","Lower Hutt","State Integrated",8,449
3031,"Avalon Intermediate","Lower Hutt","State",2,227
2803,"Avalon School","Lower Hutt","State",2,222
2833,"Dyer Street School","Lower Hutt","State",3,269
2836,"Epuni School","Lower Hutt","State",2,141
2863,"Hutt Intermediate","Lower Hutt","State",8,627
2921,"Naenae Intermediate","Lower Hutt","State",2,419
2922,"Naenae School","Lower Hutt","State",1,178
2961,"Pomare School","Lower Hutt","State",1,189
2973,"Rata Street School","Lower Hutt","State",1,387
3001,"St Bernadette's School (Naenae)","Lower Hutt","State Integrated",2,116
3015,"St Michael's School (Taita)","Lower Hutt","State Integrated",1,150
3030,"Taita Central School","Lower Hutt","State",1,165
1189,"Wa Ora Montessori School","Lower Hutt","State Integrated",8,100
3068,"Waterloo School","Lower Hutt","State",9,512
2883,"Korokoro School","Lower Hutt","State",10,138
2955,"Petone Central School","Lower Hutt","State",5,221
3072,"Wilford School","Lower Hutt","State",6,243
2920,"Muritai School","Wellington","State",10,414
2842,"Fernlea School","Lower Hutt","State",5,204
1647,"Konini Primary School (Wainuiomata)","Lower Hutt","State",4,296
2846,"Pukeatua Primary School (Wainuiomata)","Lower Hutt","State",2,352
3018,"St Claudine Thevenet School","Lower Hutt","State Integrated",4,247
2810,"Birchville School","Upper Hutt","State",6,256
2841,"Fergusson Intermediate","Upper Hutt","State",6,280
2844,"Fraser Crescent School","Upper Hutt","State",5,203
251,"Heretaunga College","Upper Hutt","State",6,708
2893,"Maidstone Intermediate","Upper Hutt","State",7,682
2902,"Maoribank School","Upper Hutt","State",4,136
2943,"Oxford Crescent School","Upper Hutt","State",6,285
2959,"Plateau School","Upper Hutt","State",9,144
2755,"Titiro Whakamua","Upper Hutt","State",1,27
3048,"Totara Park School","Upper Hutt","State",7,246
2099,"Trentham School","Upper Hutt","State",4,452
250,"Upper Hutt College","Upper Hutt","State",7,1240
3053,"Upper Hutt School","Upper Hutt","State",6,328
2100,"Koraunui School","Lower Hutt","State",4,295
2957,"Pinehaven School","Upper Hutt","State",10,209
2990,"Silverstream School","Upper Hutt","State",10,457
3004,"St Brendan's School (Heretaunga)","Upper Hutt","State Integrated",8,260
258,"Taita College","Lower Hutt","State",3,728
3036,"Tawhai School","Lower Hutt","State",6,303
3051,"Tui Glen School","Lower Hutt","State",2,198
2872,"Kapi-Mana School","Porirua","State",4,58
2928,"Ngati Toa School","Porirua","State",2,111
2964,"Porirua School","Porirua","State",2,245
3043,"Titahi Bay Intermediate","Titahi Bay","State",2,136
3044,"Titahi Bay North School","Porirua","State",2,158
3045,"Titahi Bay School","Titahi Bay","State",3,302
1195,"Adventure School","Porirua","State",10,349
2814,"Brandon Intermediate","Porirua","State",1,218
2818,"Cannons Creek School","Porirua East","State",1,174
2828,"Corinna School","Porirua East","State",1,298
2832,"Discovery School","Porirua","State",10,376
2859,"Holy Family School (Porirua)","Porirua","State Integrated",1,212
2903,"Maraeroa School","Porirua East","State",1,143
2923,"Natone Park School","Porirua East","State",1,100
2946,"Papakowhai School","Porirua","State",9,266
2950,"Paremata School","Paremata","State",9,352
2963,"Porirua East School","Porirua East","State",2,173
2966,"Postgate School","Porirua","State",4,276
2970,"Rangikura School","Porirua East","State",2,344
2983,"Russell School (Porirua East)","Porirua","State",1,169
3029,"Tairangi School","Porirua East","State",1,225
1634,"Te Kura Maori o Porirua","Porirua","State",3,159
3074,"Windley School","Porirua East","State",1,365
2960,"Plimmerton School","Porirua","State",10,449
2967,"Pukerua Bay School","Pukerua Bay","State",10,164
3025,"St Theresa's School (Plimmerton)","Plimmerton","State Integrated",10,180
2849,"Greenacres School","Wellington","State",9,196
2852,"Hampton Hill School","Wellington","State",6,186
3007,"St Francis Xavier School (Tawa)","Wellington","State Integrated",9,155
3034,"Tawa Intermediate","Wellington","State",8,487
3035,"Tawa School","Wellington","State",8,318
2949,"Paraparaumu School","Paraparaumu","State",6,244
1613,"Te Ra School","Kapiti","State Integrated",9,179
3056,"Waikanae School","Waikanae","State",8,486
263,"Chilton St James School","Lower Hutt","Private",10,673
261,"Hutt Valley High School","Lower Hutt","State",8,1700
1179,"Maranatha Christian School","Lower Hutt","State Integrated",7,147
259,"Naenae College","Lower Hutt","State",2,771
265,"St Oran's College","Lower Hutt","State Integrated",10,380
1670,"TKKM o Te Ara Whanui","Lower Hutt","State",3,175
498,"Correspondence School","Wellington","State",NA,5546
2984,"Sacred Heart School (Petone)","Lower Hutt","State Integrated",6,155
2986,"San Antonio School (Eastbourne)","Lower Hutt","State Integrated",10,31
4149,"Wellesley College","Lower Hutt","Private",10,316
2802,"Arakura School","Lower Hutt","State",3,191
4103,"Hutt Valley Christian School","Lower Hutt","Private",NA,69
478,"Wainuiomata High School","Lower Hutt","State",4,905
1646,"Wainuiomata Intermediate","Lower Hutt","State",4,353
3059,"Wainuiomata Primary School","Lower Hutt","State",4,355
3011,"St Joseph's School (Upper Hutt)","Upper Hutt","State Integrated",7,412
252,"St Patrick's College (Silverstream)","Upper Hutt","State Integrated",9,701
4158,"Hutt International Boys' School","Upper Hutt","State Integrated",10,646
4139,"Silverstream Christian School","Upper Hutt","Private",NA,31
253,"Aotea College","Porirua","State",5,955
256,"Bishop Viard College","Porirua","State Integrated",2,478
254,"Mana College","Porirua","State",2,512
3022,"St Pius X School (Titahi Bay)","Porirua","State Integrated",4,115
2847,"Glenview School (Porirua East)","Porirua East","State",1,94
255,"Porirua College","Porirua","State",1,591
546,"Samuel Marsden Collegiate School - Whitb","Porirua","Private",10,98
2752,"He Huarahi Tamariki","Wellington","State",1,42
2890,"Linden School","Wellington","State",4,101
2976,"Redwood School (Tawa)","Wellington","State",10,453
257,"Tawa College","Wellington","State",9,1346
4150,"Wellington S D A School","Porirua","State Integrated",2,57
2878,"Kenakena School","Paraparaumu Beach","State",8,511
2948,"Paraparaumu Beach School","Paraparaumu Beach","State",9,588
2871,"Kapanui School","Waikanae","State",8,500
4115,"Kapiti Christian School","Waikanae","Private",8,26
2873,"Kapiti School","Paraparaumu","State",5,286
248,"Paraparaumu College","Paraparaumu","State",8,1336
541,"Reikorangi College","Waikanae","Private",7,37
3017,"St Patrick's School (Paraparaumu)","Paraparaumu","State Integrated",8,190
247,"Kapiti College","Raumati Beach","State",8,973
2974,"Raumati Beach School","Raumati Beach","State",9,612
2975,"Raumati South School","Raumati South","State",8,336
2944,"Paekakariki School","Paekakariki","State",7,174
2899,"Mangaroa School","Upper Hutt City","State",10,129
2953,"Pauatahanui School","Porirua","State",10,219
2838,"Fairfield School (Levin)","Levin","State",4,426
2886,"Levin East School","Levin","State",2,469
